Player,Squad,scouting_url
Sammie Szmodics,Ipswich Town,
Alexander Sørloth,Atlético Madrid,
Musa Al-Taamari,Montpellier,
Haris Tabakovic,Hoffenheim,
Mehdi Taremi,Inter,
Casper Tengstedt,Hellas Verona,
Sorba Thomas,Nantes,
Tiago Tomás,Wolfsburg,
Ferrán Torres,Barcelona,
Adama Traoré,Fulham,
Chrisantus Uche,Getafe,
Can Uzun,Eint Frankfurt,
Jamie Vardy,Leicester City,
Alejo Véliz,Espanyol,
Dušan Vlahović,Juventus,
Nikola Vlašić,Torino,
Paul Wanner,Heidenheim,
Ollie Watkins,Aston Villa,
Noah Weißhaupt,St. Pauli,
Iñaki Williams,Athletic Club,
Jeong Woo-yeong,Union Berlin,
John Yeboah,Venezia,
Bertuğ Yıldırım,Getafe,
Kenan Yıldız,Juventus,
Duván Zapata,Torino,
Budu Zivzivadze,Heidenheim,
Milan Đurić,Monza,
